Month,country,role,monthly_goldstein,monthly_event_count
2017-05-01,ITA,actor2,5.688888888888889,9
2017-05-01,NLD,actor1,3.6,6
2017-05-01,NLD,actor2,0.0,2
2017-05-01,PRT,actor1,7.4,1
2017-06-01,AUT,actor1,7.4,1
2017-06-01,BEL,actor1,4.2,4
2017-06-01,BEL,actor2,6.4,2
2017-06-01,DEU,actor1,3.2625,16
2017-06-01,DEU,actor2,2.8000000000000003,11
2017-06-01,ESP,actor1,3.4,3
2017-06-01,ESP,actor2,5.6000000000000005,8
2017-06-01,FRA,actor1,5.977777777777778,9
2017-06-01,FRA,actor2,5.183333333333334,12
2017-06-01,IRL,actor1,6.630769230769232,13
2017-06-01,IRL,actor2,4.220000000000001,10
2017-06-01,ITA,actor1,5.233333333333333,12
2017-06-01,ITA,actor2,5.0888888888888895,9
2017-06-01,LUX,actor1,7.4,2
2017-06-01,NLD,actor1,7.066666666666667,3
2017-06-01,NLD,actor2,5.7,2
2017-06-01,PRT,actor2,5.2,1
2017-07-01,BEL,actor2,6.400000000000001,6
2017-07-01,DEU,actor1,5.851851851851852,27
2017-07-01,DEU,actor2,0.0,3
2017-07-01,ESP,actor1,6.800000000000001,4
2017-07-01,ESP,actor2,6.657142857142858,7
2017-07-01,FRA,actor1,3.7000000000000006,12
2017-07-01,FRA,actor2,4.4363636363636365,11
2017-07-01,IRL,actor1,5.812500000000001,16
2017-07-01,IRL,actor2,5.885714285714286,7
2017-07-01,ITA,actor1,6.525,8
2017-07-01,ITA,actor2,6.5,10
2017-07-01,NLD,actor2,7.4,4
2017-07-01,PRT,actor1,6.960000000000001,5
2017-07-01,PRT,actor2,6.9,2
2017-08-01,BEL,actor1,6.4,1
2017-08-01,BEL,actor2,6.2,2
2017-08-01,DEU,actor1,7.246153846153846,13
2017-08-01,DEU,actor2,7.4,1
2017-08-01,ESP,actor1,3.090909090909091,11
2017-08-01,ESP,actor2,0.925,8
2017-08-01,FIN,actor1,1.6666666666666667,3
2017-08-01,FIN,actor2,4.266666666666667,3
2017-08-01,FRA,actor1,4.022222222222222,9
2017-08-01,FRA,actor2,5.840000000000001,10
2017-08-01,IRL,actor1,4.573333333333333,15
2017-08-01,IRL,actor2,2.1,6
2017-08-01,ITA,actor1,7.4,2
2017-08-01,ITA,actor2,3.7,2
2017-08-01,NLD,actor1,4.733333333333333,3
2017-08-01,NLD,actor2,4.35,4
2017-09-01,AUT,actor1,7.4,1
2017-09-01,AUT,actor2,5.2,3
2017-09-01,BEL,actor1,7.4,1
2017-09-01,DEU,actor1,5.771428571428572,7
2017-09-01,DEU,actor2,2.7399999999999998,10
2017-09-01,ESP,actor2,6.4,2
2017-09-01,FIN,actor1,7.4,2
2017-09-01,FIN,actor2,7.4,2
2017-09-01,FRA,actor1,4.8909090909090915,11
2017-09-01,FRA,actor2,6.7272727272727275,11
2017-09-01,IRL,actor1,4.454545454545455,11
2017-09-01,IRL,actor2,6.9142857142857155,7
2017-09-01,ITA,actor1,3.466666666666667,3
2017-09-01,ITA,actor2,4.16,5
2017-09-01,NLD,actor1,0.0,2
2017-09-01,PRT,actor1,3.3,4
2017-09-01,PRT,actor2,6.400000000000001,3
2017-10-01,AUT,actor1,0.0,1
2017-10-01,BEL,actor1,1.85,4
2017-10-01,BEL,actor2,5.2250000000000005,8
2017-10-01,DEU,actor1,2.5250000000000004,8
2017-10-01,DEU,actor2,0.0,3
2017-10-01,ESP,actor1,3.866666666666667,6
2017-10-01,ESP,actor2,3.0250000000000004,8
2017-10-01,FIN,actor1,5.550000000000001,4
2017-10-01,FRA,actor1,3.8000000000000003,7
2017-10-01,FRA,actor2,5.757142857142858,14
2017-10-01,IRL,actor1,3.877777777777778,18
2017-10-01,IRL,actor2,1.9600000000000002,5
2017-10-01,ITA,actor1,-1.5333333333333332,3
2017-10-01,ITA,actor2,5.0,6
2017-10-01,LUX,actor2,7.4,2
2017-10-01,NLD,actor1,7.4,1
2017-10-01,NLD,actor2,7.4,2
2017-10-01,PRT,actor2,7.4,2
2017-11-01,AUT,actor1,3.4,1
2017-11-01,BEL,actor1,3.4,2
2017-11-01,BEL,actor2,0.0,1
2017-11-01,DEU,actor1,6.383333333333333,12
2017-11-01,DEU,actor2,5.085714285714286,7
2017-11-01,ESP,actor1,6.44,5
2017-11-01,ESP,actor2,2.5,2
2017-11-01,FRA,actor1,2.5,6
2017-11-01,FRA,actor2,6.366666666666667,6
2017-11-01,IRL,actor1,6.4,2
2017-11-01,IRL,actor2,6.4,4
2017-11-01,ITA,actor1,4.266666666666667,3
2017-11-01,ITA,actor2,7.4,1
2017-11-01,NLD,actor1,6.6000000000000005,4
2017-11-01,NLD,actor2,3.466666666666667,3
2017-12-01,AUT,actor1,5.0,1
2017-12-01,AUT,actor2,-5.0,2
2017-12-01,BEL,actor1,6.2,5
2017-12-01,BEL,actor2,6.4,2
2017-12-01,DEU,actor1,4.766666666666667,6
2017-12-01,DEU,actor2,4.266666666666667,3
2017-12-01,ESP,actor1,0.0,2
2017-12-01,ESP,actor2,0.0,7
2017-12-01,FIN,actor2,6.8,5
2017-12-01,FRA,actor1,7.400000000000001,6
2017-12-01,FRA,actor2,5.300000000000001,8
2017-12-01,IRL,actor1,6.1571428571428575,14
2017-12-01,IRL,actor2,6.65,4
2017-12-01,ITA,actor1,2.466666666666667,3
2017-12-01,ITA,actor2,5.550000000000001,4
2017-12-01,LUX,actor1,7.4,1
2017-12-01,NLD,actor1,-0.4000000000000001,3
2017-12-01,NLD,actor2,6.733333333333334,3
2017-12-01,PRT,actor1,7.066666666666667,3
2018-01-01,BEL,actor1,7.066666666666667,3
2018-01-01,DEU,actor1,6.2727272727272725,11
2018-01-01,DEU,actor2,5.82,10
2018-01-01,ESP,actor1,5.4,2
2018-01-01,ESP,actor2,7.4,4
2018-01-01,FRA,actor1,5.680000000000001,15
2018-01-01,FRA,actor2,3.266666666666667,6
2018-01-01,IRL,actor1,6.800000000000001,4
2018-01-01,IRL,actor2,7.400000000000001,3
2018-01-01,ITA,actor1,7.4,1
2018-01-01,ITA,actor2,4.933333333333334,3
2018-01-01,LUX,actor2,7.4,4
2018-01-01,NLD,actor1,5.92,5
2018-01-01,NLD,actor2,6.300000000000001,4
2018-02-01,AUT,actor1,5.2,2
2018-02-01,BEL,actor1,6.066666666666666,3
2018-02-01,BEL,actor2,6.733333333333334,3
2018-02-01,DEU,actor1,4.7,8
2018-02-01,DEU,actor2,6.2666666666666675,9
2018-02-01,ESP,actor1,7.4,1
2018-02-01,ESP,actor2,7.4,2
2018-02-01,FIN,actor1,5.4,2
2018-02-01,FRA,actor1,6.625000000000001,8
2018-02-01,FRA,actor2,3.7,4
2018-02-01,IRL,actor1,3.314285714285714,7
2018-02-01,IRL,actor2,-0.6,5
2018-02-01,ITA,actor1,4.266666666666667,6
2018-02-01,ITA,actor2,3.7,2
2018-02-01,LUX,actor1,7.4,1
2018-02-01,NLD,actor1,3.7,2
2018-02-01,PRT,actor1,5.0,3
2018-03-01,AUT,actor1,7.4,1
2018-03-01,AUT,actor2,7.4,1
2018-03-01,BEL,actor1,6.666666666666667,3
2018-03-01,BEL,actor2,4.857142857142857,7
2018-03-01,DEU,actor1,7.4,1
2018-03-01,DEU,actor2,-0.039999999999999855,10
2018-03-01,ESP,actor1,2.2666666666666666,3
2018-03-01,ESP,actor2,3.7714285714285714,7
2018-03-01,FIN,actor1,7.4,4
2018-03-01,FRA,actor1,4.44,10
2018-03-01,FRA,actor2,2.56,5
2018-03-01,IRL,actor1,2.56,5
2018-03-01,IRL,actor2,6.9,2
2018-03-01,ITA,actor1,5.95,16
2018-03-01,ITA,actor2,4.766666666666667,6
2018-03-01,LUX,actor2,7.4,1
2018-03-01,NLD,actor1,4.45,4
2018-03-01,NLD,actor2,5.2,2
2018-03-01,PRT,actor1,2.2666666666666666,3
2018-04-01,AUT,actor1,6.4,1
2018-04-01,BEL,actor1,7.4,2
2018-04-01,BEL,actor2,7.4,2
2018-04-01,DEU,actor1,5.671428571428572,14
2018-04-01,DEU,actor2,5.6000000000000005,8
2018-04-01,ESP,actor1,6.971428571428572,7
2018-04-01,ESP,actor2,0.0,6
2018-04-01,FIN,actor1,7.4,1
2018-04-01,FIN,actor2,7.4,2
2018-04-01,FRA,actor1,-0.5666666666666665,6
2018-04-01,FRA,actor2,2.3000000000000003,6
2018-04-01,IRL,actor1,3.5999999999999996,9
2018-04-01,IRL,actor2,4.266666666666667,3
2018-04-01,ITA,actor1,5.1000000000000005,6
